First,Last,Action,Event ID,Event Name,Ticket Quantity,Ticket Type
John,Jones,Buy,68,Minerpalooza,3,Bronze
Kendra,Sawyer,Buy,60,Karol G Live,6,Bronze
Christopher,Underwood,Buy,16,UTEP Basketball 3,4,Bronze
Joshua,Gomez,Buy,61,RBD Live,2,VIP
Sherri,Velasquez,Buy,43,UTEP Basketball 30,3,Silver
Kylie,King,Buy,64,Justin Timberlake Live,2,Silver
Cruella,DeVil,Buy,39,UTEP Basketball 26,3,Silver
Joseph,Fritz,Buy,27,UTEP Basketball 14,4,Silver
Donald,Villanueva,Buy,39,UTEP Basketball 26,3,Silver
Alexis,Ford,Buy,66,Coachella 2,2,General Admission
Mark,Washington,Buy,26,UTEP Basketball 13,6,General Admission
Richard,Paul,Buy,37,UTEP Basketball 24,3,Bronze
Megan,Noble,Buy,43,UTEP Basketball 30,6,Gold
Amanda,Miller,Buy,45,UTEP Wind Symphony 1,2,General Admission
Stephen,Villegas,Buy,56,UTEP Wind Symphony 12,2,Gold
Denise,Morales,Buy,29,UTEP Basketball 16,5,Silver
Emma,Padilla,Buy,53,UTEP Wind Symphony 9,4,Gold
Barbara,Robertson,Buy,13,UTEP Football 13,6,General Admission
