First,Last,Action,Event ID,Event Name,Ticket Quantity,Ticket Type
Christopher,Contreras,Buy,65,Coachella 1,6,Silver
Kenneth,House,Buy,38,UTEP Basketball 25,4,General Admission
Krista,Lambert,Buy,49,UTEP Wind Symphony 5,4,Gold
Grace,Kelley,Buy,48,UTEP Wind Symphony 4,2,VIP
Katherine,Evans,Buy,35,UTEP Basketball 22,2,Bronze
Brian,Lopez,Buy,1,UTEP Football 1,4,Gold
Austin,Lewis,Buy,65,Coachella 1,4,VIP
Brandon,Miller,Buy,64,Justin Timberlake Live,2,Gold
Lisa,Miller,Buy,56,UTEP Wind Symphony 12,2,Gold
Alison,Hicks,Buy,70,UTEP Commencement 2,2,Bronze
Bungein,Cheng,Buy,22,UTEP Basketball 9,2,Gold
Donna,Allen,Buy,51,UTEP Wind Symphony 7,6,Bronze
Nicholas,Copeland,Buy,26,UTEP Basketball 13,3,General Admission
Michelle,Ray,Buy,5,UTEP Football 5,3,General Admission
Kristine,Smith,Buy,39,UTEP Basketball 26,6,Silver
Jennifer,Guzman,Buy,21,UTEP Basketball 8,3,Bronze
James,Morgan,Buy,33,UTEP Basketball 20,3,Gold
Michael,Morton,Buy,9,UTEP Football 9,5,Gold
Raul,Pallares,Buy,58,Drake Live,3,General Admission
Philip,Chaney,Buy,21,UTEP Basketball 8,3,Bronze
David,Johnson,Buy,21,UTEP Basketball 8,3,Silver
Emily,Jackson,Buy,15,UTEP Basketball 2,2,Silver
Mark,Rogers,Buy,37,UTEP Basketball 24,6,Gold
Ashley,Romero,Buy,24,UTEP Basketball 11,4,Silver
Jennifer,Davidson,Buy,64,Justin Timberlake Live,3,Silver
Philip,Chaney,Buy,64,Justin Timberlake Live,3,Silver
Megan,Smith,Buy,67,ACL,4,Bronze
Stephanie,Williams,Buy,45,UTEP Wind Symphony 1,3,General Admission
Linda,Alexander,Buy,24,UTEP Basketball 11,4,Bronze
Maria,Young,Buy,5,UTEP Football 5,4,General Admission
Kelly,Herring,Buy,16,UTEP Basketball 3,3,Bronze
Timothy,Bernard,Buy,57,Taylor Swift Live,2,Gold
Christopher,Norris,Buy,49,UTEP Wind Symphony 5,3,VIP
Ryan,Brown,Buy,51,UTEP Wind Symphony 7,2,Gold
Debra,Blackwell,Buy,61,RBD Live,2,Silver
Kimberly,Kocian,Buy,31,UTEP Basketball 18,2,General Admission
Kathleen,Small,Buy,59,Bad Bunny Live,5,General Admission
Nathan,Coleman,Buy,11,UTEP Football 11,2,General Admission
Kelly,Wilson,Buy,25,UTEP Basketball 12,6,Bronze
Nicole,Rowland,Buy,55,UTEP Wind Symphony 11,4,Gold
Richard,Paul,Buy,61,RBD Live,6,Gold
April,Lopez,Buy,34,UTEP Basketball 21,3,Silver
Barbara,Lane,Buy,3,UTEP Football 3,4,Silver
Jade,Crawford,Buy,58,Drake Live,6,Bronze
Becky,Gray,Buy,5,UTEP Football 5,6,VIP
Christopher,Foster,Buy,49,UTEP Wind Symphony 5,2,Gold
Cruella,DeVil,Buy,33,UTEP Basketball 20,5,Silver
Megan,Smith,Buy,34,UTEP Basketball 21,5,Bronze
Samuel,Burton,Buy,50,UTEP Wind Symphony 6,6,VIP
Paul,Harmon,Buy,69,UTEP Commencement 1,3,Bronze
David,Gross,Buy,38,UTEP Basketball 25,6,Gold
Patrick,Henderson,Buy,49,UTEP Wind Symphony 5,5,Bronze
William,Evans,Buy,37,UTEP Basketball 24,5,Silver
Philip,Holt,Buy,54,UTEP Wind Symphony 10,6,Silver
Tanya,Davis,Buy,26,UTEP Basketball 13,5,General Admission
Lisa,Gaines,Buy,49,UTEP Wind Symphony 5,6,VIP
April,Turner,Buy,58,Drake Live,3,Silver
Anthony,Hardin,Buy,42,UTEP Basketball 29,5,VIP
Ray,Huynh,Buy,15,UTEP Basketball 2,2,Silver
Caroline,Torres,Buy,29,UTEP Basketball 16,2,Gold
Sonia,Durham,Buy,42,UTEP Basketball 29,2,Silver
Michael,Robinson,Buy,9,UTEP Football 9,3,VIP
Tom,Perez,Buy,41,UTEP Basketball 28,4,Gold
Brett,Mathis,Buy,62,Olivia Rodrigo Live,4,VIP
Craig,Oconnell,Buy,28,UTEP Basketball 15,4,Gold
Elizabeth,Medina,Buy,40,UTEP Basketball 27,6,General Admission
Joshua,Banks,Buy,7,UTEP Football 7,2,Silver
Sarah,Cline,Buy,41,UTEP Basketball 28,6,Bronze
Diego,Pedraza,Buy,3,UTEP Football 3,5,Bronze
Gaston,Disney,Buy,18,UTEP Basketball 5,5,Silver
Michelle,Oliver,Buy,44,UTEP Basketball 31,2,Silver
Alondra,Gonzalez,Buy,3,UTEP Football 3,5,Bronze
Anthony,Brooks,Buy,34,UTEP Basketball 21,5,Silver
Ashley,Morales,Buy,24,UTEP Basketball 11,4,VIP
Matthew,Khan,Buy,42,UTEP Basketball 29,2,Bronze
Chris,Jones,Buy,12,UTEP Football 12,6,Silver
Kimberly,Kocian,Buy,43,UTEP Basketball 30,5,General Admission
Christopher,Berry,Buy,39,UTEP Basketball 26,2,General Admission
Anita,Fletcher,Buy,23,UTEP Basketball 10,6,Silver
Darrell,Jones,Buy,1,UTEP Football 1,6,Gold
Jeremy,Foster,Buy,14,UTEP Basketball 1,6,General Admission
Melissa,Holt,Buy,57,Taylor Swift Live,3,General Admission
Christopher,Fields,Buy,5,UTEP Football 5,5,Silver
Jacob,Norton,Buy,62,Olivia Rodrigo Live,3,Bronze
Pluto,Disney,Buy,70,UTEP Commencement 2,3,Bronze
Justin,Martinez,Buy,29,UTEP Basketball 16,6,VIP
Sean,Roberts,Buy,69,UTEP Commencement 1,4,Silver
Vanessa,Watson,Buy,56,UTEP Wind Symphony 12,6,Gold
Ashley,Romero,Buy,54,UTEP Wind Symphony 10,2,VIP
Jenna,Chase,Buy,60,Karol G Live,2,General Admission
Joshua,Banks,Buy,70,UTEP Commencement 2,5,Silver
Ricardo,Rodriguez,Buy,58,Drake Live,5,Silver
Carlos,Irwin,Buy,38,UTEP Basketball 25,3,Bronze
Darin,Baker,Buy,11,UTEP Football 11,2,VIP
Theresa,Hardy,Buy,37,UTEP Basketball 24,3,VIP
Jessica,Frye,Buy,47,UTEP Wind Symphony 3,5,VIP
Joanna,Trevino,Buy,60,Karol G Live,2,Gold
Matthew,Mason,Buy,45,UTEP Wind Symphony 1,4,Gold
Ronald,Kent,Buy,5,UTEP Football 5,4,General Admission
Javier,Vazquez,Buy,57,Taylor Swift Live,2,Silver
Melissa,Evans,Buy,59,Bad Bunny Live,6,Silver
Sharon,Castillo,Buy,67,ACL,6,General Admission
Jennifer,Davidson,Buy,28,UTEP Basketball 15,6,Gold
David,Costa,Buy,54,UTEP Wind Symphony 10,4,Silver
Erik,Laneave,Buy,58,Drake Live,5,Silver
Gary,Mckenzie,Buy,9,UTEP Football 9,2,Gold
Kylie,King,Buy,55,UTEP Wind Symphony 11,6,Silver
Sabas,Rojas,Buy,54,UTEP Wind Symphony 10,2,VIP
Ray,Booth,Buy,59,Bad Bunny Live,5,General Admission
Matthew,Mason,Buy,7,UTEP Football 7,4,VIP
Michelle,Wood,Buy,48,UTEP Wind Symphony 4,3,VIP
Jose,Farley,Buy,31,UTEP Basketball 18,6,Silver
Terri,Strickland,Buy,18,UTEP Basketball 5,6,Bronze
Brittany,Hawkins,Buy,46,UTEP Wind Symphony 2,3,VIP
Brittney,Daniel,Buy,32,UTEP Basketball 19,5,Gold
Stephanie,Harris,Buy,1,UTEP Football 1,5,VIP
Leonard,King,Buy,45,UTEP Wind Symphony 1,4,Bronze
Anita,Fletcher,Buy,1,UTEP Football 1,2,General Admission
Justin,Wilson,Buy,63,Shakira Live,3,VIP
Crystal,Rice,Buy,69,UTEP Commencement 1,3,Silver
Paula,Wyatt,Buy,16,UTEP Basketball 3,5,Silver
Sandra,Rogers,Buy,26,UTEP Basketball 13,4,Bronze
Rhonda,Kane,Buy,55,UTEP Wind Symphony 11,6,Gold
Dana,Miller,Buy,1,UTEP Football 1,6,Gold
Brooke,Maxwell,Buy,58,Drake Live,4,General Admission
Brandon,Neal,Buy,38,UTEP Basketball 25,2,VIP
Jeffrey,Marquez,Buy,68,Minerpalooza,5,VIP
Mark,Lozano,Buy,68,Minerpalooza,3,Silver
Danielle,Gardner,Buy,18,UTEP Basketball 5,6,VIP
James,Nolan,Buy,11,UTEP Football 11,4,Silver
Anthony,Hunter,Buy,35,UTEP Basketball 22,5,Bronze
Katherine,Evans,Buy,43,UTEP Basketball 30,2,Silver
Sarah,Stanton,Buy,55,UTEP Wind Symphony 11,5,Gold
Brett,Higgins,Buy,47,UTEP Wind Symphony 3,4,General Admission
Alyssa,Smith,Buy,20,UTEP Basketball 7,2,Gold
Michelle,Maldonado,Buy,45,UTEP Wind Symphony 1,5,Silver
Christin,Moreno,Buy,68,Minerpalooza,2,Gold
Phillip,Richardson,Buy,58,Drake Live,6,General Admission
Prince,Eric,Buy,37,UTEP Basketball 24,3,Silver
Mark,Lozano,Buy,60,Karol G Live,2,VIP
Anthony,Dalton,Buy,53,UTEP Wind Symphony 9,3,Silver
Paul,Herman,Buy,33,UTEP Basketball 20,2,VIP
Mary,Stevens,Buy,53,UTEP Wind Symphony 9,5,Gold
Roger,Casey,Buy,62,Olivia Rodrigo Live,6,General Admission
Woody,Disney,Buy,39,UTEP Basketball 26,4,Gold
Edgar,Ruiz,Buy,10,UTEP Football 10,2,Bronze
Anthony,Sanchez,Buy,42,UTEP Basketball 29,5,General Admission
Samuel,Burton,Buy,2,UTEP Football 2,5,Silver
Victor,Harris,Buy,22,UTEP Basketball 9,4,Gold
Sandra,Rogers,Buy,11,UTEP Football 11,4,Bronze
Jake,Mitchell,Buy,3,UTEP Football 3,2,Gold
Elizabeth,Torres,Buy,32,UTEP Basketball 19,2,Gold
Kimberly,Harris,Buy,45,UTEP Wind Symphony 1,6,Silver
Carol,Elliott,Buy,28,UTEP Basketball 15,2,Silver
Samantha,Thomas,Buy,69,UTEP Commencement 1,5,VIP
Krista,Lambert,Buy,13,UTEP Football 13,2,Silver
Amy,Chase,Buy,60,Karol G Live,5,VIP
Jesse,Dunn,Buy,31,UTEP Basketball 18,2,Bronze
Gregory,Maxwell,Buy,60,Karol G Live,2,General Admission
Shane,Arnold,Buy,52,UTEP Wind Symphony 8,2,General Admission
Felicia,Carlson,Buy,13,UTEP Football 13,4,VIP
Cesar,Alvarez,Buy,67,ACL,2,Bronze
Jeremy,Rocha,Buy,43,UTEP Basketball 30,5,Silver
Kimberly,Mejia,Buy,53,UTEP Wind Symphony 9,6,Bronze
Lisa,Spencer,Buy,63,Shakira Live,4,Gold
Erika,Lopez,Buy,40,UTEP Basketball 27,4,Silver
Edgar,Ruiz,Buy,55,UTEP Wind Symphony 11,6,General Admission
Sean,Medina,Buy,68,Minerpalooza,5,Bronze
Courtney,Johnson,Buy,22,UTEP Basketball 9,3,Silver
Donald,Ramirez,Buy,17,UTEP Basketball 4,2,Silver
Carlos,Lynch,Buy,31,UTEP Basketball 18,2,VIP
Jennifer,Williams,Buy,28,UTEP Basketball 15,3,VIP
Rita,Owens,Buy,57,Taylor Swift Live,6,Bronze
Micheal,Sanders,Buy,60,Karol G Live,6,Gold
Alexandra,Simpson,Buy,65,Coachella 1,5,Bronze
Bungein,Cheng,Buy,49,UTEP Wind Symphony 5,4,Bronze
Jamie,Hernandez,Buy,59,Bad Bunny Live,3,VIP
Theresa,Clark,Buy,67,ACL,3,Silver
Michael,King,Buy,21,UTEP Basketball 8,4,Gold
Ryan,Sullivan,Buy,21,UTEP Basketball 8,4,VIP
Alondra,Gonzalez,Buy,14,UTEP Basketball 1,5,General Admission
Brittany,Nielsen,Buy,39,UTEP Basketball 26,4,Silver
Karl,Davis,Buy,60,Karol G Live,4,General Admission
Colleen,Sanchez,Buy,26,UTEP Basketball 13,4,VIP
Katherine,Evans,Buy,2,UTEP Football 2,3,Silver
Edward,Johnson,Buy,21,UTEP Basketball 8,3,Silver
Kimberly,Martinez,Buy,14,UTEP Basketball 1,2,VIP
Robert,Leblanc,Buy,34,UTEP Basketball 21,4,Silver
Angel,Aguayo,Buy,49,UTEP Wind Symphony 5,5,Bronze
Christopher,Lucero,Buy,20,UTEP Basketball 7,5,General Admission
Michelle,Maynard,Buy,38,UTEP Basketball 25,6,Bronze
Julie,Alexander,Buy,30,UTEP Basketball 17,4,Silver
Megan,Smith,Buy,65,Coachella 1,2,General Admission
Jake,Mitchell,Buy,21,UTEP Basketball 8,5,Gold
Robin,Watson,Buy,2,UTEP Football 2,4,Silver
Robert,Kennedy,Buy,21,UTEP Basketball 8,3,General Admission
Alexandra,Robinson,Buy,48,UTEP Wind Symphony 4,2,VIP
Christopher,Robinson,Buy,68,Minerpalooza,5,General Admission
John,Sanders,Buy,13,UTEP Football 13,6,Bronze
Nancy,Robles,Buy,28,UTEP Basketball 15,5,Bronze
Richard,Torres,Buy,69,UTEP Commencement 1,3,Bronze
Matthew,Erickson,Buy,8,UTEP Football 8,3,Silver
Denise,Johnson,Buy,63,Shakira Live,2,Silver
Alexander,Carter,Buy,26,UTEP Basketball 13,4,Bronze
Stephanie,Obrien,Buy,25,UTEP Basketball 12,3,VIP
Christina,Dodson,Buy,55,UTEP Wind Symphony 11,5,VIP
Christopher,Underwood,Buy,12,UTEP Football 12,2,General Admission
Luis,Solomon,Buy,11,UTEP Football 11,6,Silver
Thomas,Sanders,Buy,51,UTEP Wind Symphony 7,6,Silver
Kayla,Smith,Buy,10,UTEP Football 10,5,Gold
Patrick,Henderson,Buy,49,UTEP Wind Symphony 5,4,Bronze
Ethan,Holmes,Buy,4,UTEP Football 4,6,VIP
Jerry,Gamble,Buy,30,UTEP Basketball 17,4,VIP
Amy,Bradley,Buy,18,UTEP Basketball 5,3,Silver
Jennifer,Huang,Buy,32,UTEP Basketball 19,6,VIP
Valerie,Moore,Buy,44,UTEP Basketball 31,5,VIP
Theresa,Macias,Buy,25,UTEP Basketball 12,6,Gold
Christopher,Ortega,Buy,54,UTEP Wind Symphony 10,2,VIP
Amy,Morse,Buy,42,UTEP Basketball 29,2,Silver
Jennifer,Guzman,Buy,51,UTEP Wind Symphony 7,6,Silver
Saeefa,Nowmi,Buy,2,UTEP Football 2,2,Silver
Dylan,Lopez,Buy,55,UTEP Wind Symphony 11,3,Silver
Emily,Estes,Buy,2,UTEP Football 2,3,VIP
Shawn,Santos,Buy,4,UTEP Football 4,6,Gold
William,Adkins,Buy,20,UTEP Basketball 7,3,Gold
Amanda,Miller,Buy,6,UTEP Football 6,2,Gold
Donald,Tran,Buy,65,Coachella 1,3,Gold
Alexander,Carter,Buy,46,UTEP Wind Symphony 2,6,Silver
Olivia,Richardson,Buy,35,UTEP Basketball 22,2,Gold
Megan,Smith,Buy,17,UTEP Basketball 4,5,Silver
Destiny,Ferguson,Buy,47,UTEP Wind Symphony 3,2,Bronze
Bradley,Bell,Buy,70,UTEP Commencement 2,5,VIP
Ashley,Jones,Buy,56,UTEP Wind Symphony 12,5,Gold
Goofy,Disney,Buy,34,UTEP Basketball 21,2,Silver
Joshua,Meadows,Buy,33,UTEP Basketball 20,6,VIP
Lance,Dominguez,Buy,20,UTEP Basketball 7,3,General Admission
Michael,Clarke,Buy,37,UTEP Basketball 24,5,Silver
Marko,Padilla,Buy,47,UTEP Wind Symphony 3,6,VIP
Donald,Villanueva,Buy,7,UTEP Football 7,4,Bronze
Christopher,Berry,Buy,62,Olivia Rodrigo Live,4,Bronze
Adam,Maldonado,Buy,32,UTEP Basketball 19,3,Bronze
Paula,Wyatt,Buy,12,UTEP Football 12,2,General Admission
Norman,Freeman,Buy,27,UTEP Basketball 14,3,General Admission
Jennifer,Preston,Buy,39,UTEP Basketball 26,4,Bronze
Julia,Young,Buy,53,UTEP Wind Symphony 9,5,VIP
Theresa,Macias,Buy,56,UTEP Wind Symphony 12,6,General Admission
Ryan,Peterson,Buy,35,UTEP Basketball 22,2,Silver
Cassandra,Cook,Buy,4,UTEP Football 4,6,Bronze
Amanda,Shepherd,Buy,43,UTEP Basketball 30,6,Bronze
Lauren,Coleman,Buy,58,Drake Live,4,VIP
James,Hammond,Buy,10,UTEP Football 10,3,Gold
Brittney,Daniel,Buy,18,UTEP Basketball 5,5,Bronze
Michele,Cummings,Buy,7,UTEP Football 7,6,Bronze
Jessica,Lloyd,Buy,66,Coachella 2,5,Gold
Joseph,Fritz,Buy,58,Drake Live,5,VIP
Matthew,Khan,Buy,54,UTEP Wind Symphony 10,6,Silver
Brittany,Nielsen,Buy,28,UTEP Basketball 15,6,General Admission
Alan,Holguin,Buy,43,UTEP Basketball 30,3,Silver
David,Mills,Buy,28,UTEP Basketball 15,2,VIP
Jason,Wolfe,Buy,25,UTEP Basketball 12,6,Bronze
Samantha,Howell,Buy,49,UTEP Wind Symphony 5,5,General Admission
Patrick,Bennett,Buy,56,UTEP Wind Symphony 12,3,VIP
Becky,Gray,Buy,12,UTEP Football 12,2,Gold
Cynthia,Powell,Buy,11,UTEP Football 11,3,General Admission
Tonya,Elliott,Buy,2,UTEP Football 2,2,Silver
Kevin,Gould,Buy,41,UTEP Basketball 28,6,Bronze
Woody,Disney,Buy,34,UTEP Basketball 21,3,VIP
Angela,Carney,Buy,46,UTEP Wind Symphony 2,2,VIP
Anaiah,Quinn,Buy,22,UTEP Basketball 9,5,Gold
Daniel,Foster,Buy,22,UTEP Basketball 9,3,VIP
Heather,Robbins,Buy,65,Coachella 1,6,Silver
Kyle,Taylor,Buy,62,Olivia Rodrigo Live,6,VIP
Benjamin,Johnson,Buy,68,Minerpalooza,2,Gold
Brooke,Maxwell,Buy,55,UTEP Wind Symphony 11,4,Gold
Holly,Cruz,Buy,17,UTEP Basketball 4,4,Gold
Rodney,Berg,Buy,60,Karol G Live,4,Silver
David,Mills,Buy,44,UTEP Basketball 31,6,Gold
Dana,Williams,Buy,33,UTEP Basketball 20,3,Silver
Raul,Pallares,Buy,23,UTEP Basketball 10,3,Gold
Sean,Roberts,Buy,66,Coachella 2,4,VIP
Jasmine,Disney,Buy,12,UTEP Football 12,5,Silver
Michael,Ike,Buy,50,UTEP Wind Symphony 6,3,VIP
Sherri,Armstrong,Buy,42,UTEP Basketball 29,5,VIP
Linda,Alexander,Buy,1,UTEP Football 1,3,Bronze
Danielle,Dorsey,Buy,68,Minerpalooza,3,VIP
Christine,Ellis,Buy,27,UTEP Basketball 14,3,Silver
Christina,Villanueva,Buy,15,UTEP Basketball 2,6,Bronze
Jody,Sanchez,Buy,69,UTEP Commencement 1,2,Bronze
Richard,Paul,Buy,27,UTEP Basketball 14,5,Silver
Steven,Carrillo,Buy,38,UTEP Basketball 25,6,Silver
Jamie,Brown,Buy,53,UTEP Wind Symphony 9,3,Bronze
Nathan,Thompson,Buy,68,Minerpalooza,5,Bronze
William,Adkins,Buy,70,UTEP Commencement 2,4,VIP
Brendan,Phillips,Buy,32,UTEP Basketball 19,3,Silver
Sarah,Mosley,Buy,56,UTEP Wind Symphony 12,3,Silver
Nancy,Robles,Buy,66,Coachella 2,4,General Admission
Victor,Ross,Buy,11,UTEP Football 11,4,General Admission
Victor,Anderson,Buy,4,UTEP Football 4,2,Bronze
Robert,Park,Buy,38,UTEP Basketball 25,6,Bronze
Jennifer,Carr,Buy,57,Taylor Swift Live,2,Bronze
Sarah,Taylor,Buy,34,UTEP Basketball 21,6,Gold
Darin,Baker,Buy,10,UTEP Football 10,6,VIP
Mary,Cruz,Buy,69,UTEP Commencement 1,2,Gold
Prince,Eric,Buy,58,Drake Live,6,Bronze
Mufassa,Disney,Buy,12,UTEP Football 12,3,Silver
Molly,Cohen,Buy,52,UTEP Wind Symphony 8,3,Gold
William,Adkins,Buy,13,UTEP Football 13,6,VIP
Christian,Rodriguez,Buy,24,UTEP Basketball 11,2,Silver
Sarah,Jones,Buy,20,UTEP Basketball 7,2,General Admission
Natalia,MestaValenzuela,Buy,21,UTEP Basketball 8,3,General Admission
Kimberly,Garcia,Buy,52,UTEP Wind Symphony 8,6,Silver
Deborah,Hunt,Buy,47,UTEP Wind Symphony 3,5,Bronze
Douglas,Bryant,Buy,65,Coachella 1,6,Bronze
Brittany,Nielsen,Buy,67,ACL,5,Bronze
Tonya,Elliott,Buy,54,UTEP Wind Symphony 10,3,Silver
Sean,Medina,Buy,56,UTEP Wind Symphony 12,2,VIP
Karl,Davis,Buy,67,ACL,3,VIP
Jason,Burke,Buy,9,UTEP Football 9,6,Bronze
Holly,Schneider,Buy,14,UTEP Basketball 1,5,Silver
Perry,Hill,Buy,63,Shakira Live,2,VIP
Christina,Walker,Buy,28,UTEP Basketball 15,5,Gold
Maria,Young,Buy,9,UTEP Football 9,2,Bronze
Stephen,Peters,Buy,42,UTEP Basketball 29,6,Silver
Roberto,Gutierrez,Buy,45,UTEP Wind Symphony 1,2,VIP
Raul,BaezRamirez,Buy,31,UTEP Basketball 18,6,VIP
Courtney,Olsen,Buy,9,UTEP Football 9,4,Silver
Sarah,Anderson,Buy,17,UTEP Basketball 4,2,VIP
Keith,Ortiz,Buy,23,UTEP Basketball 10,2,Bronze
Thomas,Stevenson,Buy,24,UTEP Basketball 11,4,VIP
Barbara,Jones,Buy,50,UTEP Wind Symphony 6,3,Gold
Jennifer,Jones,Buy,15,UTEP Basketball 2,3,VIP
Brandi,Daniel,Buy,32,UTEP Basketball 19,3,Silver
Mary,Stevens,Buy,41,UTEP Basketball 28,4,General Admission
Jerry,Gamble,Buy,46,UTEP Wind Symphony 2,4,Gold
William,Adkins,Buy,48,UTEP Wind Symphony 4,5,VIP
Kylie,King,Buy,29,UTEP Basketball 16,3,Gold
Brett,Wallace,Buy,18,UTEP Basketball 5,6,Gold
Dana,Miller,Buy,2,UTEP Football 2,3,VIP
Michael,Clarke,Buy,29,UTEP Basketball 16,5,General Admission
Phillip,Richardson,Buy,61,RBD Live,6,General Admission
Erin,Barton,Buy,34,UTEP Basketball 21,5,Silver
Cassandra,Cook,Buy,38,UTEP Basketball 25,6,Gold
Kevin,Larson,Buy,19,UTEP Basketball 6,2,Bronze
Ronald,Kent,Buy,9,UTEP Football 9,6,Silver
Amy,Rodriguez,Buy,44,UTEP Basketball 31,2,General Admission
James,Mitchell,Buy,18,UTEP Basketball 5,6,Bronze
Erin,Barton,Buy,65,Coachella 1,5,VIP
Craig,Espinoza,Buy,23,UTEP Basketball 10,4,Silver
Crystal,Hudson,Buy,33,UTEP Basketball 20,4,VIP
Amanda,Miller,Buy,39,UTEP Basketball 26,3,General Admission
Derek,Gomez,Buy,57,Taylor Swift Live,5,VIP
Phillip,Meyer,Buy,38,UTEP Basketball 25,5,General Admission
Tyrone,Alvarado,Buy,55,UTEP Wind Symphony 11,5,Gold
Dakota,Harper,Buy,43,UTEP Basketball 30,3,VIP
Joshua,Banks,Buy,34,UTEP Basketball 21,6,Gold
Debra,Raymond,Buy,8,UTEP Football 8,4,Silver
Robert,Preston,Buy,41,UTEP Basketball 28,2,VIP
Michelle,Maynard,Buy,13,UTEP Football 13,2,Silver
Kylie,King,Buy,17,UTEP Basketball 4,3,VIP
Jessica,Frye,Buy,40,UTEP Basketball 27,2,General Admission
Hector,Diaz,Buy,63,Shakira Live,4,General Admission
Amanda,Vang,Buy,31,UTEP Basketball 18,3,Silver
Donna,Travis,Buy,22,UTEP Basketball 9,2,Bronze
Brandi,Gordon,Buy,22,UTEP Basketball 9,5,Gold
Crystal,Young,Buy,44,UTEP Basketball 31,6,Gold
Lori,Livingston,Buy,26,UTEP Basketball 13,2,Gold
Jack,Morgan,Buy,58,Drake Live,3,Bronze
Kim,Buckley,Buy,33,UTEP Basketball 20,6,VIP
Chris,Jones,Buy,35,UTEP Basketball 22,5,Bronze
Nicole,Lloyd,Buy,18,UTEP Basketball 5,3,Silver
Victor,Harris,Buy,39,UTEP Basketball 26,4,Bronze
Kenneth,Smith,Buy,21,UTEP Basketball 8,6,Silver
Patrick,Henderson,Buy,38,UTEP Basketball 25,6,General Admission
Karen,Zhang,Buy,66,Coachella 2,4,Bronze
Joe,Cochran,Buy,59,Bad Bunny Live,4,Gold
Christopher,Coleman,Buy,53,UTEP Wind Symphony 9,2,Silver
Carolyn,Dunn,Buy,62,Olivia Rodrigo Live,4,General Admission
David,Thomas,Buy,60,Karol G Live,5,General Admission
Becky,Simpson,Buy,6,UTEP Football 6,4,General Admission
Amber,Brown,Buy,56,UTEP Wind Symphony 12,4,Gold
Tracy,Fitzgerald,Buy,32,UTEP Basketball 19,4,General Admission
Sandra,Sutton,Buy,34,UTEP Basketball 21,4,Gold
Jennifer,Evans,Buy,10,UTEP Football 10,2,Silver
Philip,Zamora,Buy,34,UTEP Basketball 21,5,VIP
Rebecca,Nguyen,Buy,9,UTEP Football 9,2,General Admission
Kevin,Gould,Buy,23,UTEP Basketball 10,6,VIP
Bobby,Bennett,Buy,27,UTEP Basketball 14,6,Silver
Wesley,Williamson,Buy,15,UTEP Basketball 2,3,General Admission
Jennifer,Preston,Buy,13,UTEP Football 13,3,Silver
Shane,Arnold,Buy,14,UTEP Basketball 1,3,General Admission
Elizabeth,Medina,Buy,14,UTEP Basketball 1,3,Silver
Vincent,Harrison,Buy,34,UTEP Basketball 21,5,VIP
Sean,Klein,Buy,24,UTEP Basketball 11,5,General Admission
Gerald,Baker,Buy,5,UTEP Football 5,6,VIP
Tracy,Fitzgerald,Buy,37,UTEP Basketball 24,3,VIP
Thomas,Hall,Buy,41,UTEP Basketball 28,3,Bronze
Jeff,Ray,Buy,29,UTEP Basketball 16,3,General Admission
Jeffrey,Rodriguez,Buy,62,Olivia Rodrigo Live,2,General Admission
Courtney,Johnson,Buy,31,UTEP Basketball 18,6,Gold
